Title,Price,Location,Beds,Baths,Toilets
Luxuriously And Well Built 4 Bedroom Detached House With 2 Room Bq,6000000, Lekki,4,4,5
Newly Built 24 Hours Servced 4 Bedrooms Duplex,3000000, Lekki,4,4,5
Furnished 5 Bedrooms Terrace With Swimming Pool,5000000, Lekki,5,6,5
Spacious 4 Bedroom Fully Detached Duplex With Bq,4000000, Lekki,4,5,4
Luxury 4 Bedroom Semi Detached Duplex With Bq,4000000, Lekki,4,4,5
17hours Serviced 4 Bedrooms Duplex With Bq,3000000, Lekki,4,4,5
Brand New 3bedroom Duplex Self Compound Plus 24hrs Light,2000000, Ibeju Lekki,3,4,4
Three Bedrooms Terrace,2000000, Lekki,3,4,5
4 Bedroom Terrace Available,3000000, Lekki,4,4,5
3 Bedrooms Terraced Duplex With Lovely Living Room,2200000, Magodo,3,3,4
"5 Bedrooms Terrace With Swimming Pool, Party Furnished With Ac, Fitted Kitchen",5000000, Lekki,5,5,6
4 Bedrooms Detached Duplex,3800000, Lekki,4,4,5
Beautiful 3 Bedrooms Terraced Duplex With Bq With No Agency Or Legal Fee,2000000, Lekki,3,3,4
5 Bedroom With 2 Bqs,5200000, Lekki,5,5,4
Fully Refurbished Luxury 4 Bedroom Terrace,8500000, Ikoyi,4,4,5
Fully Detached 5 Bedrooms Duplex,3000000, Gbagada,5,5,6
Luxury 4 & 5 Bedroom Terraced Duplex,3500000, Lekki,4,5,5
Newly Built Brand New Tastefully Furnished 4 Bedrooms Terrace,3000000, Lekki,4,4,5
Newly Built Luxurious 2 Bedroom Flat,400000, Agege,2,2,3
