Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"12,000,000",4,5 BEDROOM HOUSE FOR RENT,Ikeja Gra Ikeja Gra Ikeja Lagos,5bedroom Flat Available At Ikeja Gra,5 beds,6 baths,6 Toilets
"4,000,000",4,2 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT,... Ikeja Gra Ikeja Lagos,3 Bedroom Block Of 6 Flats,2 beds,2 baths,2 Toilets
"18,000,000",10,HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR RENT,"Ikeja GRA, Ikeja Lagos",Exquisitely Finished 32 Rooms Hotel With Pool For Lease, beds, baths, Toilets
"4,500,000",17,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,"Brand New 8 Units Of 3bedroom Flat At Parkview Estate, Ikoyi For Rent",3 beds,4 baths,4 Toilets
"7,000,000",11,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,Tastefully Finished 3bedroom Flat At Parkview For Rent,3 beds,4 baths,4 Toilets
"5,000,000",16,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,"Tastefully Furnished 3bedroom Flat For Rent At Parkview, Ikoyi",3 beds,4 baths,4 Toilets
"4,500,000",7,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,Tastefully Finished 3 Bedroom Flat For Rent At Parkview Estate Ikoyi,3 beds,4 baths,4 Toilets
"4,000,000",14,3 BEDROOM FLAT / APARTMENT FOR RENT, 2nd Avenue Extension Ikoyi Lagos,"Newly Renovated 3bedroom Flat For Rent At 2nd Avenue, Ikoyi",3 beds,4 baths,4 Toilets
"5,000,000",18,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,"Brand New 3 Bedroom Flat For Rent In Parkview Estate, Ikoyi.",3 beds,4 baths,4 Toilets
"6,000,000",9,3 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,"Tastefully Finished 3 Bedroom Flat For Rent At Parkview, Ikoyi.",3 beds,4 baths,4 Toilets
