source, url
propertypro, https://www.propertypro.ng/property-for-rent/in/lagos
nigeriapropertycetre, https://nigeriapropertycentre.com/for-rent/lagos
privateproperty, https://www.privateproperty.com.ng/property-for-rent/lagos
property24,https://www.property24.com.ng/property-for-sale-in-lagos-p37
buyletlive, https://buyletlive.com/property-for-rent
